Column1,Column2,Column3,Column4,Column5,Column6
113,117,18222,5341,1806,7147
117,101,28198,7459,22857,30316
101,32,27900,6151,20441,26592
102,117,21552,5340,13595,18935
117,101,11772,10387,6432,16819
101,114,24474,6556,14087,20643
114,97,41403,12589,34847,47436
97,32,29197,7358,16608,23966
32,101,26894,10573,19536,30109
101,110,16909,4845,6335,11181
110,32,25085,8462,20240,28702
116,114,19843,6548,15004,21552
114,97,14698,9174,8150,17323
97,32,12589,8162,3416,11577
32,117,36556,5846,28395,34241
117,110,22053,5677,16207,21884
110,105,20255,6035,14578,20614
105,118,26283,6543,20247,26791
118,101,7234,8678,691,9369
101,114,19442,7159,10764,17923
114,115,29204,9373,22045,31418
115,105,14823,5227,5450,10677
105,100,11061,7358,5833,13191
100,97,32532,5542,25174,30716
100,32,23868,6849,13795,20644
32,121,39275,5847,32426,38273
121,32,21143,7257,15297,22554
32,101,47128,9873,39871,49744
101,115,27290,9470,17417,26887
115,116,13298,6946,3828,10774
116,97,19652,10969,12706,23674
97,32,12686,8751,1717,10468
32,99,25663,6447,16912,23359
99,97,11178,12808,4731,17539
97,114,18937,5947,6129,12076
114,114,15810,7668,9863,17532
114,101,13000,12384,5332,17716
101,114,55170,4644,42786,47430
114,97,24383,10877,19739,30615
97,83,30261,10673,19045,29717
83,83,27014,11444,16342,27786
83,111,21121,5938,9677,15615
111,121,43827,5420,37888,43308
121,32,23952,7053,18532,25586
32,105,27592,5954,20539,26492
105,116,26590,4828,20636,25465
116,115,9962,8660,5133,13793
115,101,21556,8357,12897,21254
101,108,18436,10261,10079,20341
108,32,30006,6747,19744,26491
32,118,22247,4939,15500,20439
118,97,42104,7545,37165,44709
97,122,22872,12571,15327,27898
122,113,25966,14912,13395,28307
113,117,23262,6043,8350,14393
117,101,13093,8058,7050,15107
101,122,30817,14513,22760,37273
122,32,24873,6035,10360,16395
32,117,28300,5135,22264,27399
117,110,20746,7654,15611,23265
110,97,15216,11283,7562,18845
97,32,13282,7364,1999,9362
32,99,18736,9174,11372,20546
99,104,13495,5735,4322,10056
104,105,21517,6364,15782,22146
105,99,11369,13152,5005,18157
99,97,32977,14009,19825,33835
97,32,21657,7559,7648,15207
32,101,24299,7415,16740,24155
101,115,21509,8566,14094,22660
115,116,13901,4934,5335,10269
116,117,42419,5719,37485,43204
117,100,15291,9518,9573,19091
100,105,12993,5552,3474,9026
97,110,11365,3818,19623,23441
97,110,11365,6841,19623,3023
110,116,23864,6240,17024,23264
116,101,22267,8848,16027,24875
101,32,24072,6330,15223,21553
113,117,47032,6126,33652,39778
117,101,15393,9465,9267,18733
101,32,17017,9486,7551,17037
32,101,14539,6916,5054,11970
115,32,9255,1809,25778,27587
115,32,9255,6341,25778,4532
32,109,25280,9260,18939,28200
109,117,26184,3527,16924,20451
117,121,19800,6096,16273,22369
121,32,26029,6341,19934,26275
112,101,13470,10381,6738,17119
101,114,21258,7046,10877,17922
114,115,24470,8761,17424,26185
